,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
"Automatically picks up dropped items.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","Automatically picks up dropped items.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","自动拾取掉落的物品。
注意：此功能用于范围拾取和低延迟的拾取是高风险的，
　　　滥用会导致封号。

如果要使用范围拾取，请确保先打开该选项。","自動拾取掉落的物品。
注意：此功能用於範圍拾取和低延遲的拾取是高風險的，
　　　濫用會導致封號。

如果要使用範圍拾取，請確保先打開該選項。","Автоматический подбор упавших предметов.
Примечание: использовать это с высокими значениями радиуса сбора и низкой задержкой подбора КРАЙНЕ ОПАСНО.
Злоупотребление этой функцией может привести к бану.

Если используется с пользовательской настройкой радиуса сбора, то убедитесь что это включено ПЕРВЕЕ ВСЕГО.","Ambil item secara otomatis.
Catatan: Sangat beresiko saat digunakan bersama jarak kustom dan waktu delay yang rendah.
Jika sering dilakukan dapat terkena banned.

Jika ingin digunakan bersama jarak kustom, aktifkan fitur ini LEBIH DULU.",Tự động tắt tính năng nhặt khi túi đầy.
Automatically select dialog choices.,Automatically select dialog choices.,自动选择对话选项,自動選擇對話選項,Автоматически выбирает ответы в диалогах.,Memilih opsi dialog secara otomatis.,"Tự động mở rương và các báu vật khác.
Lưu ý: Việc sử dụng điều này với phạm vi tùy chỉnh và thời gian trễ thấp là cực kỳ rủi ro.
Lạm dụng tính năng này chắc chắn sẽ dẫn đến bạn bị khoá tài khoản.

Nếu bạn đang sử dụng điều này với một phạm vi tùy chỉnh, hãy đảm bảo rằng nó được bật TRƯỚC."
Automatically skips game movies.,Automatically skips game movies.,自动跳过游戏动画,自動跳過遊戲動畫,Автоматический пропуск игровых катсцен.,Lewati cutscene secara otomatis.,"Tự động nhặt đồ bị rơi.
Lưu ý: Việc sử dụng điều này với phạm vi tùy chỉnh và thời gian trễ thấp là cực kỳ rủi ro.
Lạm dụng tính năng này chắc chắn sẽ dẫn đến bạn bị khoá tài khoản.

Nếu bạn đang sử dụng điều này với một phạm vi tùy chỉnh, hãy đảm bảo rằng nó được bật TRƯỚC."
Avatar Own,Avatar Own,自己,主角頭像,Ваш игрок,Avatar Sendiri,Tự động chọn các lựa chọn trò chuyện.
Avatar Teammate,Avatar Teammate,队友,隊伍頭像,Другой игрок,Avatar Teman,Tự động bỏ qua video phim (Skip Anime)
Avatar image,Avatar image,头像图片,頭像圖片,Изображение игрока,Gambar avatar,Ảnh đại diện riêng
Avatar position: %s,Avatar position: %s,角色坐标: %s,角色座標: %s,Позиция игрока: %s,Posisi avatar: %s,Ảnh đại diện động đội
Ayaka,Ayaka,神里绫华,神里綾華,Аяка,Ayaka,ảnh đại diện
Ayaka_SpringbloomMissive,Ayaka: Springbloom Missive,神里绫华：花时来信,神里綾華：花時來信,Аяка: Послание весеннего цветения,Ayaka_SpringbloomMissive,Vị trí hình đại diện: %s
Ayato,Ayato,神里绫人,神里綾人,Аято,Ayato,Ayaka
Azhdaha,Azhdaha,若陀龙王,若陀龍王,Аждаха,Azhdaha,Ayaka - Thư Từ Hoa Xuân
AzureWind,AzureWind,苍天清风之翼,蒼天清風之翼,Крылья лазурного неба,AzureWind,Ayato
BGMs,BGMs,唱片,唱片,Музыка,BGM,Azhdaha
Back HotKey,Back HotKey,后退热键,後退熱鍵,"Горячая клавиша ""Назад""",HotKey Mundur,Cánh Trời
Backward,Backward,后,後,Назад,Mundur,BGMs
Bake Danuki,Bake Danuki,狸猫,貍貓,Бакэ-дануки,Bake Danuki,Trở lại phím tắt
Bake-Danuki,Bake-Danuki,妖狸,妖貍,Бакэ-дануки,Bake-Danuki,Phía sau
Bamboo Segment,Bamboo Segment,竹节,竹節,Бамбук,Bamboo Segment,Bake Danuki
Bamboo Shoot,Bamboo Shoot,竹笋,竹筍,Побеги бамбука,Bamboo Shoot,Bake-Danuki
Banish,Banish,逐回,逐回,Изгнать,Buang,Đốt Trúc
Banish All,Banish All,逐回所有,逐回所有,Изгнать всех,Buang Semua,Bamboo Shoot
Barbara,Barbara,芭芭拉,芭芭拉,Барбара,Barbara,Banish
Barbara_SummertimeSparkle,Barbara: Summertime Sparkle,芭芭拉：闪耀协奏,芭芭拉：閃耀協奏,Барбара: Летний блеск,Barbara_SummertimeSparkle,Banish All
"Barrels, boxes, vases, etc.","Barrels, boxes, vases, etc.",桶、箱、花瓶等。,桶、箱、花瓶等。,"Бочки, ящики, вазы и т.д.","Gentong, kotak, vas, dll.",Barbara
Bathysmal Vishap,Bathysmal Vishap,深海龙蜥,深海龍蜥,Вишап глубин,Bathysmal Vishap,Mùa Hè Rực Rỡ
Bathysmal Vishap Herd,Bathysmal Vishap Herd,深海龙蜥之群,深海龍蜥之群,Стая вишапов глубин,Bathysmal Vishap Herd,"Thùng, hộp, bình hoa, v.v."
Beginner's Protector,Beginner's Protector,新手长枪,新手長槍,Копьё новичка,Beginner's Protector,Rồng Biển Sâu
Beidou,Beidou,北斗,北鬥,Бэйдоу,Beidou,Đàn Rồng Biển Sâu
Beisht,Beisht,跋掣,跋掣,Бешт,Beisht,Bảo vệ người mới bắt đầu
Bennett,Bennett,班尼特,班尼特,Беннет,Bennett,Beidou
Berry,Berry,树莓,樹莓,Ягода,Berry,Beisht
Betta,Betta,斗棘鱼,鬥棘魚,Боевая колюшка,Betta,Bennett
Birch Wood,Birch Wood,桦木,樺木,Берёза,Birch Wood,Quả Mâm Xôi
Bird Egg,Bird Egg,鸟蛋,鳥蛋,Яйцо,Bird Egg,Cá Gai Đấu Sĩ
Bitter Pufferfish,Bitter Pufferfish,苦炮鲀,苦炮魨,Горький иглобрюх,Bitter Pufferfish,Birch Wood
Bkebi Discord:,Bkebi Discord:,"Bkebi Discord: ","Bkebi Discord: ",Discord-сервер Bkebi:,Bkebi Discord:,Trứng Chim
Bkebi GitHub:,Bkebi GitHub:,"Bkebi GitHub: ","Bkebi GitHub: ",GitHub-страница Bkebi:,Bkebi GitHub:,Cá Pháo Cay Đắng
Bkebi translators list:,Bkebi translators list:,Bkebi 翻译者名单:,Bkebi 翻譯者名單:,Bkebi Переводчики Список:,Daftar penerjemah Bkebi:,Bkebi Discord:
Bkebi-GC,Bkebi-GC,Bkebi-GC,Bkebi-GC,Bkebi-GC,Bkebi-GC,Bkebi GitHub:
Black King Pigeon,Black King Pigeon,黑王鸽,黑王鴿,Чёрный голубь,Black King Pigeon,Danh sách những người dịch thuật của Bkebi:
Black Serpent Knight,Black Serpent Knight,黑蛇骑士,黑蛇騎士,Рыцарь чёрного змея,Black Serpent Knight,Bkebi-GC
Black Tassel,Black Tassel,黑缨枪,黑纓槍,Чёрная кисть,Black Tassel,Black King Pigeon
Blackcliff Agate,Blackcliff Agate,黑岩绯玉,黑岩緋玉,Черногорский агат,Blackcliff Agate,Kỵ Sĩ Hắc Xà
Blackcliff Longsword,Blackcliff Longsword,黑岩长剑,黑岩長劍,Черногорский длинный меч,Blackcliff Longsword,Hắc Anh Thương
Blackcliff Pole,Blackcliff Pole,黑岩刺枪,黑岩刺槍,Черногорская пика,Blackcliff Pole,Hắc Nham Phỉ Ngọc
Blackcliff Slasher,Blackcliff Slasher,黑岩斩刀,黑岩斬刀,Черногорская бритва,Blackcliff Slasher,Hắc Nham Trường Kiếm
Blackcliff Warbow,Blackcliff Warbow,黑岩战弓,黑岩戰弓,Черногорский боевой лук,Blackcliff Warbow,Blackcliff Pole
Blessbone Flying Serpent,Blessbone Flying Serpent,"圣骸飞蛇 ","聖骸飛蛇 ",Летучий змей священной кости,Blessbone Flying Serpent,Hắc Nham Trảm Đao
Blessbone Red Vulture,Blessbone Red Vulture,圣骸赤鹫,聖骸赤鷲,Красный стервятник священной кости,Blessbone Red Vulture,Cung Hắc Nham
Blessbone Scorpion,Blessbone Scorpion,圣骸毒蝎,聖骸毒蝎,Скорпион священной кости,Blessbone Scorpion,Blessbone Rắn Bay
Blink Distance,Blink Distance,闪现距离,閃現距離,Blink Distance,Jarak Blink,Blessbone Kền Kền Đỏ
Blink Hotkey,Blink Hotkey,闪现热键,閃現熱鍵,Blink Hotkey,Tombol pintasan Blink,Blessbone Bò Cạp Độc
Blink Movement,Blink Movement,闪现,閃現,Blink Movement,Gerakan Blink,Khoảng cách chớp mắt
Bloatty Floatty,Bloatty Floatty,蓬蓬果,蓬蓬果,Порхающая помидорка,Bloatty Floatty,Chuyển động chớp mắt
Block User Input,Block User Input,拦截用户输入,攔截使用者輸入,Блокировать нажатия,Blokir Input Pengguna,Phím tắt chớp mắt
Block WindSeed,Block WindSeed,拦截WindSeed,攔截WindSeed,Блокировать WindSeed,Blokir WindSeed,Quả Bồng Bồng
Blocks the WindSeed Packet which can cause RCE from malicious private servers. Only use it on private servers.,Blocks the WindSeed Packet which can cause RCE from malicious private servers. Only use it on private servers.,阻止来自恶意服务器可能导致 RCE 的 WindSeed 数据包，仅在私服使用。,阻止來自惡意伺服器可能導致 RCE 的 WindSeed 封包，僅在私服使用。,"Блокирует пакеты WindSeed, которые могут исполнять вредоносный код от злонамеренных приватных серверах. Включайте эту функцию только на приватных серверах.",Blokir Packet WindSeed yang dapat menyebabkan RCE dari server privat jahat. Gunakan saat bermain di server privat.,Chặn đầu vào của người dùng
Bloodtainted Greatsword,Bloodtainted Greatsword,沐浴龙血的剑,沐浴龍血的劍,Меч драконьей крови,Bloodtainted Greatsword,Chặn gió Hạt giống
Blue Frog,Blue Frog,蓝蛙,藍蛙,Синяя лягушка,Blue Frog,Chặn gió Hạt giống có thể gây ra RCE (Remote Code Execution - Thực thi mã từ xa) từ các máy chủ riêng độc hại. Chỉ sử dụng nó trên các máy chủ riêng.
Blue Horned Lizard,Blue Horned Lizard,蓝角蜥,藍角蜥,Синяя рогатая ящерица,Blue Horned Lizard,Kiếm Huyết Rồng
Bluethunder Weasel,Bluethunder Weasel,青雷鼬,青雷鼬,Хорёк сиреневой молнии,Bluethunder Weasel,Ếch Lam
Boar,Boar,野猪,野豬,Кабан,Boar,Rồng Đất Lam
Body,Body,身体,身體,Тело,Body,Chồn Sóc Sét Xanh
"Body Texture.
Example path: C:\Body.png","Body Texture.
Example path: C:\Body.png","身体纹理。
路径示例：C:\Body.png","身體材質。
路徑示例：C:\Body.png","Текстура тела.
Пример пути к файлу: C:\Body.png","Tekstur Badan.
Contoh lokasi: C:\Badan.png",Heo rừng
Book,Book,书籍,書籍,Книга,Buku,Cơ thể
Book Page,Book Page,书页,書頁,Страница,Halaman Buku,"Kết cấu cơ thể.
Đường dẫn ví dụ: C:\Body.png"
"Book Pages, Spincrystals, etc.","Book Pages, Spincrystals, etc.",书页、唱片等。,書頁、唱片等。,"Страницы книг, Лучевые кристаллы, и т.д.","Halaman Buku, Spincrystal, dll.",Sách
Book pages,Book pages,书页,書頁,Страницы книг,Halaman buku,Trang sách
Books/Recipes,Books/Recipes,书籍/食谱,書籍/食譜,Рецепты и книги,Buku/Resep,"Book Pages, Spincrystals, etc."
Boost the player's jumping ability.,Boost the player's jumping ability.,提高玩家的跳跃能力。,提高玩家的跳躍能力。,Boost the player's jumping ability.,Meningkatkan kemampuan melompat pemain.,Nhiều trang sách
Boot Weasel,Boot Weasel,靴子鼬,靴子鼬,Сапожный хорёк,Boot Weasel,Sách/Bí quyết
