,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Algorithm of Semi-Intransient Matrix of Overseer Network,Algorithm of Semi-Intransient Matrix of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Алгоритм полуизвечной матрицы оператора наблюдения,Algoritma Matriks Semi-Intransien Pada Jaringan Pengawas,Ma Trận Điều Hành Bán Vĩnh Cửu
Alhaitham,Alhaitham,艾尔海森,艾爾海森,Аль-Хайтам,Alhaitham,Alhaitham
Toggle Hotkey,Toggle Hotkey,切换快捷键,切換快捷鍵,Включить комбинацию клавиш,Alihkan Hotkey,Toggle Hotkey
Alley Hunter,Alley Hunter,暗巷猎手,暗巷獵手,Охотник во тьме,Alley Hunter,
Aloy,Aloy,埃洛伊,埃洛伊,Элой,Aloy,Aloy
Amakumo Fruit,Amakumo Fruit,天云草实,天雲草實,Плод облачной травы,Amakumo Fruit,Quả Amakumo
Amber,Amber,安柏,安柏,Эмбер,Amber,Amber
Amber_100Outrider,Amber: 100% Outrider,安柏：100%侦察骑士,安柏：100%偵察騎士,Эмбер: Скаут на все сто,Amber_100Outrider,Kỵ Sĩ Trinh Thám 100%
Pick-ups,Pick-ups,直接拾取型,直接拾取型,Подбираемые,Ambil,Pick-ups
"Automatically picks up dropped items.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","Automatically picks up dropped items.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","自动拾取掉落的物品。
注意：此功能用于范围拾取和低延迟的拾取是高风险的，
　　　滥用会导致封号。

如果要使用范围拾取，请确保先打开该选项。","自動拾取掉落的物品。
注意：此功能用於範圍拾取和低延遲的拾取是高風險的，
　　　濫用會導致封號。

如果要使用範圍拾取，請確保先打開該選項。","Автоматический подбор упавших предметов.
Примечание: использовать это с высокими значениями радиуса сбора и низкой задержкой подбора КРАЙНЕ ОПАСНО.
Злоупотребление этой функцией может привести к бану.

Если используется с пользовательской настройкой радиуса сбора, то убедитесь что это включено ПЕРВЕЕ ВСЕГО.","Ambil item secara otomatis.
Catatan: Sangat beresiko saat digunakan bersama jarak kustom dan waktu delay yang rendah.
Jika sering dilakukan dapat terkena banned.

Jika ingin digunakan bersama jarak kustom, aktifkan fitur ini LEBIH DULU.","Tự động nhặt đồ bị rơi.
Lưu ý: Việc sử dụng điều này với phạm vi tùy chỉnh và thời gian trễ thấp là cực kỳ rủi ro.
Lạm dụng tính năng này chắc chắn sẽ dẫn đến bạn bị khoá tài khoản.

Nếu bạn đang sử dụng điều này với một phạm vi tùy chỉnh, hãy đảm bảo rằng nó được bật TRƯỚC."
Auto-Pickup,Auto-Pickup,自动拾取,自動拾取,Автоматический подбор,Ambil Otomatis,Tự động nhặt
Amenoma Kageuchi,Amenoma Kageuchi,天目影打刀,天目影打刀,Амэнома Кагэути,Amenoma Kageuchi,Đoản Đao Amenoma
Amethyst Lump,Amethyst Lump,紫晶矿,紫晶礦,Кусок аметиста,Amethyst Lump,Miếng Tử Tinh
Amethyst Lump Drop,Amethyst Lump Drop,紫晶矿掉落,紫晶礦掉落,Amethyst Lump Drop,Amethyst Lump Drop,Miếng Tử Tinh Rơi
Amos' Bow,Amos' Bow,阿莫斯之弓,阿莫斯之弓,Лук Амоса,Amos' Bow,Cung Amos
Ancient Rime,Ancient Rime,雪山大冰矿,雪山大冰礦,Доисторический лёд,Ancient Rime,Tảng băng cổ đại
Andrius,Andrius,北风狼,北風狼,Андриус,Andrius,Vua sói bắc phong
Anemo,Anemo,风,風,Анемо,Anemo,Phong
Anemo Crystalfly,Anemo Crystalfly,风晶蝶,風晶蝶,Кристальная бабочка Анемо,Anemo Crystalfly,Phong Tinh Điệp
Anemo Hypostasis,Anemo Hypostasis,无相之风,無相之風,Анемо Гипостазис,Anemo Hypostasis,Phong nguyên bản
Anemoculus,Anemoculus,风神瞳,風神瞳,Анемокул,Anemoculus,Phong thần đồng
Animations,Animations,动画,動畫,Анимации,Animasi,Ảnh dộng
Debug Animations,Debug Animations,调试动画,調試動畫,Отладка анимаций,Animasi Debug,Gỡ lỗi ảnh động
DragBackBypass,DragBackBypass,防拉回,防拉回,Запретить телепортацию назад сервером,"Anti-Tarik Kembali  ",Chống bị server kéo lại
AntiFire,AntiFire,免疫,免疫,AntiFire,AntiFire,Chống cháy
AP,AP,拾取,拾取,AP,AP,AP
Apple,Apple,苹果,蘋果,Яблоко,Apple,Táo
Apprentice's Notes,Apprentice's Notes,学徒笔记,學徒筆記,Записи ученика,Apprentice's Notes,Nhật Ký Học Sinh
Aqua Simulacra,Aqua Simulacra,若水,若水,Аква симулякрум,Aqua Simulacra,Cung Nhược Thủy
Aquila Favonia,Aquila Favonia,风鹰剑,風鷹劍,Меч Сокола,Aquila Favonia,Phong Ưng Kiếm
Aralia Wood,Aralia Wood,孔雀木,孔雀木,Аралия,Aralia Wood,Gỗ Khổng Tước
Aranara,Aranara,兰那罗,蘭那羅,Аранара,Aranara,Aranara
Arataki Itto,Arataki Itto,荒泷一斗,荒瀧一鬥,Итто,Arataki Itto,Arataki Itto
Archaic Stone,Archaic Stone,老石,老石,Староцвет,Archaic Stone,Lão Thạch
command line arguments,command line arguments,命令行参数,命令行參數,Аргументы командной строки,argumen baris perintah,command line arguements
Artifact,Artifact,圣遗物,聖遺物,Артефакт,Artefak,Thánh Di Vật
Artifacts,Artifact,圣遗物,聖遺物,Артефакты,Artefak,Thánh Di Vật Khác
Unknown,Unknown,未知,未知,Неизвестный,Asing,Không xác định
Unknowns,Unknowns,未知,不明,Неизвестны,Asing,Những thứ không xác định
AT,AT,交互,交互,AT,AT,AT
Up,Up,上,上,Вверх,Atas,Lên
Athel Wood,Athel Wood,柽木,檉木,Тамариск,Athel Wood,Athel Wood
"Configure to how many times it will update the animation state.
Results can vary alongside Animation State","Configure to how many times it will update the animation state.
Results can vary alongside Animation State","配置更新动画状态的次数。
结果可能随动画状态而变化。","配置更新動畫狀態的次數。
結果可能隨動畫狀態而變化。","Указывает сколько раз оно обновит состояние анимации.
Результаты могут различаться от Состояния анимации.","Atur berapa kali fitur mengubah animasi.
Hasil dapat bervariasi tergantung State Animasi","Định cấu hình số lần nó sẽ cập nhật trạng thái hoạt hình.
Kết quả có thể thay đổi cùng với Animation State"
Configure...,Configure...,配置文件...,配置文件...,Настраивем...,Atur...,Định cấu hình...
Elemental Aura,Elemental Aura,元素光环,元素光環,Элементная аура,Aura Elemen,Aura Nguyên Tố
Enable Elemental Aura,Enable Elemental Aura,启用元素光环,啟用元素光環,Элементальная аура,Aura Elemen,Kích hoạt Aura Nguyên Tố
Kill Aura,Kill Aura,杀戮光环,殺戮光環,Kill Aura,Aura Membunuh,Kill Aura
KillAura,KillAura,杀戮光环,殺戮光環,Kill Aura,Aura Membunuh,KillAura
Kill aura will attempt to instagib any valid target.,Kill aura will attempt to instagib any valid target.,杀戮光环将尝试作用任何有效目标,殺戮光環將嘗試作用任何有效目標,Kill Aura наносит мгновенный урон вокруг вас.,Aura membunuh akan membunuh semua target yang valid.,Kill aura sẽ cố tiêu diệt bất kì mục tiêu hợp lệ nào.
Kill aura causes crash damage for monster around you.,Kill aura causes crash damage for monster around you.,杀戮光环会对你周围的怪物造成坠落伤害,殺戮光環會對你周圍的怪物造成墜落傷害,Kill Aura наносит урон в падении вокруг вас.,Aura membunuh akan menyebabkan serangan crash pada monster disekitar avatar.,Kill aura gây sát thương cho quái xung quanh bạn.
